x,y,HeightError,PredictedHeight,TrueHeight
243489.22,702890.68,0.1019816200155631,13.105867406845093,11.893
242822.17,699168.16,0.07507625588020021,15.085506266593933,16.31
245800.36,697801.61,0.3283999050720893,7.533355861663819,5.671
243809.9,698522.75,0.020015067476746397,12.196320161819457,11.957
243060.77,704766.89,0.05516604067140665,24.595917629241942,26.032
246302.74,696014.58,0.12609795517150557,9.411051120758056,10.769
245121.47,695262.61,0.030297033323015893,12.320291924476624,11.958
247761.09,697243.01,0.10850697340561517,12.410844074249267,11.196
248215.38,696190.69,0.22680882733277594,8.987601469039916,7.326
243664.44,699887.96,0.04440557104495545,15.135525535583495,14.492
248192.83,695180.22,0.2997815715932792,7.976188117980957,11.391
243977.61,700675.18,0.0420506623901656,12.156377094268798,12.69
247906.6,699499.35,0.491855225829873,8.878030448913574,5.951
241436.55,698365.27,0.062204470846925354,9.845573240280151,9.269
242124.89,698994.81,0.03615789760596658,21.832883060455323,21.071
243154.6,702338.62,0.29105024848349115,7.6443085212707516,5.921
248250.5,694372.23,0.014099651732612675,15.929191926956177,16.157
241083.33,705977.49,0.11727122871718328,7.232196823120117,8.193
247268.67,696850.31,0.0728095747893935,10.757263313293457,11.602
249653.78,699135.02,0.1231294384850059,8.443687118530274,7.518
248485.33,697196.25,0.11882974123212528,21.39833856391907,24.284
243929.45,700857.88,0.10255757183271093,11.693674839019776,13.03
248039.69,695914.76,0.14658025117936224,10.724925983428955,12.567
241261.73,707063.22,0.1042948949208907,10.37926771736145,9.399
249801.78,699883.31,0.12092270759853747,13.526174312591552,12.067
241069.31,706679.21,0.03635950708922824,9.731805337905884,10.099
244942.24,696325.05,0.02713309354934005,7.390869888305664,7.597
244995.05,695671.09,0.03625507130232331,15.720607276916503,16.312
248093.47,694237.82,0.03097806803732534,17.038312629699707,17.583
248002.99,697182.44,0.04014156187884322,15.569879039764404,14.969
243100.94,699670.01,0.00903253394928945,23.10179986476898,22.895
249271.25,696242.19,0.09961133560313602,16.029034439086914,14.577
243750.87,698590.0,0.22472745711432976,10.057461877822876,8.212
242030.31,701118.32,0.014014227614463758,7.938171453475952,8.051
249522.9,698844.1,0.1830634613685918,12.680488952636718,15.522
241689.76,707196.83,0.09491773795745997,20.06476866722107,22.169
247579.9,694341.12,0.17002475884418644,15.77699935913086,19.009
248761.92,698532.24,0.11078974902592174,7.034542295455933,7.911
245117.69,695950.07,0.10640981270387749,19.613326749801637,17.727
242282.23,702744.46,0.6871857353991591,6.789235399246216,4.024
245236.66,695327.83,0.003374342383339816,16.444302097320556,16.389
243501.51,702037.71,0.03652465778287966,20.814921293258667,21.604
243590.51,702591.11,0.4230292423631919,6.537396339416504,4.594
241938.69,698589.05,0.003732312343582054,18.12339063167572,18.056
248830.6,693978.97,0.12531691662148403,17.135916286468508,19.591
244037.67,708174.18,0.11659315900702644,6.603531942367554,5.914
247947.18,696844.0,0.011214317063153767,14.915411176681518,14.75
241257.52,703196.92,0.3641587617805941,8.850662046432495,6.488
244867.92,700184.39,0.022076509486099138,8.06724988937378,7.893
241423.88,700275.18,0.006801210159619078,21.24948810863495,21.395
245881.89,695644.81,0.37217652926144074,10.697488222122193,7.796
242931.46,701449.85,0.08974843165698723,9.357669782638549,8.587
244689.95,701637.2,0.10536853397781117,14.19869599723816,15.871
248571.22,697361.12,0.11804087891047435,9.175020736694336,10.403
242326.37,702949.34,0.3321506102972146,10.322835079193116,7.749
249246.64,696603.96,0.32844909137647504,12.61362412261963,9.495
246703.3,699008.6,0.1396435650469637,11.16280871963501,9.795
248893.18,698861.51,0.020327082400019444,16.940490549087524,16.603
246942.7,695029.36,0.003013080157278783,22.266705867767335,22.334
245883.13,698330.71,0.07824770023562767,13.336845804214478,12.369
249072.64,698228.12,0.06944176082645491,23.212775276184082,24.945
246994.36,699927.83,0.13761610448622802,10.77548677444458,12.495
243662.31,698527.58,0.11507824214031553,7.978454568862915,9.016
242936.0,701573.59,0.07668667562550333,10.498995811462402,11.371
249466.0,699236.76,0.009522826840456893,28.009210830688478,27.745
244574.65,698224.1,0.14928106086996998,10.588047916412354,12.446
248805.29,699234.32,0.014815438584854054,8.945598091125488,8.815
248439.9,699106.28,0.07757165586670885,13.036679787635803,14.133
249719.94,694591.98,0.04607635290326149,20.951978984832763,21.964
241548.42,699312.74,0.13677559518313104,5.951020240783691,5.235
248597.69,699884.92,0.10570517323221591,7.8129127540588375,7.066
245497.41,695619.61,0.14482288872486232,14.716698234558105,12.855
244418.57,700737.73,0.13203028307592748,8.059098821640013,9.285
246806.35,695189.2,0.06425403716107683,15.971312093734742,17.068
