UUN,Age,Region,Gender,Nationality,Programme,Year,Status,Route,Year 1 Courses,Year 2 Courses,Year 3 Courses
S1996539,41,Trinidad and Tobago,Female,Trinidad & Tobago,PTMFMFAMME2P,3,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'","'GLHE11084 Family Medicine Research Methods','GLHE11085 Family Medicine Research Project'"
S2137593,35,Kenya,Male,Kenya,PTMFMFAMME2P,1,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'",
S2592729,28,Nigeria,Female,Nigeria,PTMFMFAMME2P,1,New entrant not yet matriculated,,"'GLHE11092 Applying Evidence-Based Practice in Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'",,
S1986630,38,Nigeria,Male,Nigeria,PTMFMFAMME2P,1,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'",
S2138329,43,Canada,Female,Canada,PTMFMFAMME2P,3,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'","'GLHE11084 Family Medicine Research Methods','GLHE11085 Family Medicine Research Project'"
S2133294,50,Trinidad and Tobago,Male,Nigeria,PTMFMFAMME2P,3,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'","'GLHE11084 Family Medicine Research Methods','GLHE11085 Family Medicine Research Project'"
S2096308,33,Guyana,Female,Guyana,PTMFMFAMME2P,3,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'","'GLHE11084 Family Medicine Research Methods','GLHE11085 Family Medicine Research Project'"
S2593786,32,Kenya,Male,Kenya,PTMFMFAMME2P,1,New entrant not yet matriculated,,"'GLHE11092 Applying Evidence-Based Practice in Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'",,
S2298608,34,United States of America,Female,United States,PTMFMFAMME2P,1,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'",
S2572056,41,England,Male,United Kingdom,PTMFMFAMME2P,1,New entrant not yet matriculated,,"'GLHE11092 Applying Evidence-Based Practice in Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'",,
S2595559,30,England,Male,Sierra Leone,PTMFMFAMME2P,1,New entrant not yet matriculated,,"'GLHE11092 Applying Evidence-Based Practice in Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'",,
S2611576,41,Uganda,Female,Uganda,PTMFMFAMME2P,1,New entrant not yet matriculated,,"'GLHE11092 Applying Evidence-Based Practice in Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'",,
S2257127,28,India,Female,India,PTMFMFAMME2P,,Continuing student not yet matriculated,,'GLHE11071 Foundations of Family Medicine',,
S1784775,35,India,Male,India,PTMFMFAMME2P,3,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'","'GLHE11084 Family Medicine Research Methods','GLHE11085 Family Medicine Research Project'"
S2098560,40,Trinidad and Tobago,Female,Trinidad & Tobago,PTMFMFAMME2P,3,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'","'GLHE11084 Family Medicine Research Methods','GLHE11085 Family Medicine Research Project'"
S2519828,29,SOUTH AFRICA,Female,South Africa,PTMFMFAMME2P,1,New entrant not yet matriculated,,"'GLHE11092 Applying Evidence-Based Practice in Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'",,
S2261422,40,Nigeria,Male,Nigeria,PTMFMFAMME2P,2,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'",
S2271690,35,Guyana,Male,Guyana,PTMFMFAMME2P,2,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'",
S2405850,35,"Tanzania, United Republic of",Female,"Tanzania [Tanzania, United Republic of]",PTMFMFAMME2P,1,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'",
S2271114,36,Guyana,Female,Guyana,PTMFMFAMME2P,2,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'",
S2135992,32,Guyana,Female,Guyana,PTMFMFAMME2P,3,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'","'GLHE11084 Family Medicine Research Methods','GLHE11085 Family Medicine Research Project'"
S2598929,24,Ghana,Female,Ghana,PTMFMFAMME2P,1,New entrant not yet matriculated,,"'GLHE11092 Applying Evidence-Based Practice in Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'",,
S1776785,32,BANGLADESH,Male,Bangladesh,PTMFMFAMME2P,1,New entrant not yet matriculated,,"'GLHE11092 Applying Evidence-Based Practice in Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'",,
