"BehaviorSpace results (NetLogo 6.3.0)"
"farming_climate_change.nlogo"
"RCP-experiment-1"
"11/24/2024 16:04:08:734 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","64","0","64"
"[run number]","max-alt-cost-coeff","SLRrate","green-org","starting-temp","look-ahead-blue","dev-discount-red","time-btw-buy-blue","blue-org","run-time","profit-threshold-red","sell-bonus-red","dev-discount-blue","time-btw-buy-red","dev-discount-green","max-base-cost","time-btw-buy-green","look-ahead-green","profit-threshold-blue","profit-threshold-green","look-ahead-red","max-altitude","sell-bonus-blue","sell-bonus-green","red-org","min-base-cost","[step]","sum [money] of farm-orgs with [org-color = red]","sum [money] of farm-orgs with [org-color = blue]","sum [money] of farm-orgs with [org-color = green]","sum [farm-agri-output] of farms with [color = red]","sum [farm-agri-output] of farms with [color = blue]","sum [farm-agri-output] of farms with [color = green]"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","0","0","0","0","0","0","0"
"4","2","0.0088","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","0","0","0","0","0","0","0"
"3","2","0.0062","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","0","0","0","0","0","0","0"
"1","2","0","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","0","0","0","0","0","0","0"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","1","-5855.282766666668","-8337.882","-3781.8430000000003","52.85659395455558","43.922991134136964","27.500895728481044"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","2","-5326.777863134294","-7898.7123688024585","-3506.8871670129156","52.85049035323734","43.91696311975416","27.49558329870846"
"4","2","0.0088","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","1","-4334.462600000001","-12768.874333333333","-2410.068","40.129720434822026","54.611543992958005","17.893762327898504"
"3","2","0.0062","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","1","-2712.2519666666667","-9597.354","-3122.111999999999","31.504055222591646","37.89289140421469","19.985988393181984"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","3","-4798.333993396991","-7459.603015988053","-3231.984457273977","52.84438697373037","43.910935281440565","27.490270973893853"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","4","-4269.951155236937","-7020.553939796383","-2957.1348697338085","52.838283816005415","43.90490761916701","27.484958754016876"
"4","2","0.0088","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","2","-3933.3071486569547","-12222.938420296443","-2231.261092674501","40.11554513430459","54.59359130368905","17.880690732549922"
"3","2","0.0062","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","2","-2397.3098287631374","-9218.52370998459","-2922.351016886571","31.494213790352934","37.883029001540876","19.97609831134282"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","5","-3741.629346436605","-6581.56513846734","-2682.3384033432367","52.83218088003318","43.89888013290432","27.4796466390572"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","6","-3213.3685647787615","-6142.6366102411075","-2407.595057053292","52.82607816578437","43.89285282262326","27.47433462899447"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","7","-2685.1688080464646","-5703.76835335816","-2132.9048298152084","52.819975673229706","43.88682568829469","27.469022723808344"
"1","2","0","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","1","-4421.879929999999","-10491.333333333336","-6554.427500000002","37.33281063736343","44.409032558289645","39.83749604512664"
"4","2","0.0088","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","3","-3532.2934387727173","-11677.182018120775","-2052.584896213965","40.10137098842377","54.575640217566736","17.867619646053626"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","8","-2157.030074023066","-5264.960366059266","-1858.2677205804234","52.813873402339894","43.88079872988942","27.463710923478484"
"3","2","0.0062","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","3","-2082.4661008954618","-8839.792038648135","-2722.6889317975","31.48437278676755","37.8731671336457","19.966208508907062"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","9","-1628.9523604922092","-4826.2126465854835","-1583.6837283005775","52.807771353085684","43.87477194737826","27.45839922798458"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","10","-1100.935665237832","-4387.525193178163","-1309.1528519275148","52.80166952543773","43.86874534073204","27.453087637306275"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","11","-572.9799860441639","-3948.8980040789475","-1034.675090413282","52.7955679193668","43.86271890992158","27.447776151423273"
"4","2","0.0088","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","4","-3131.421458805869","-11131.605110781182","-1874.039405532657","40.08719799668484","54.55769073395924","17.854549068130797"
"3","2","0.0062","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","4","-1767.7207787785962","-8461.15898064452","-2523.1257419398266","31.474532211686544","37.86330580036135","19.956318985767346"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","12","-45.08532069572834","-3510.3310775297705","-760.2504427101298","52.789466534843555","43.85669265491772","27.442464770315222"
"1","2","0","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","2","-4048.5518236263647","-10047.24300775044","-6156.052539548735","37.33281063736343","44.409032558289645","39.83749604512664"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","13","482.74833302265904","-3071.8244117728573","-485.8789077705116","52.78336537183874","43.8506665756913","27.437153493961826"
"4","2","0.0088","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","5","-2730.6911972199373","-10586.207682258833","-1695.6246155476292","40.07302615859318","54.53974285223478","17.841478998502776"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","14","1010.5209773258895","-2633.378005050726","-211.56048454708412","52.777264430323044","43.844640672213124","27.43184232234275"
"3","2","0.0062","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","5","-1453.073858128986","-8082.624530629321","-2323.6614445216633","31.464692064961028","37.85344500151999","19.946429741816324"
"4","2","0.0088","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","6","-2330.102642483395","-10040.989716541217","-1517.3405211787194","40.05885547365425","54.52179657176165","17.82840943689099"
