"BehaviorSpace results (NetLogo 6.3.0)"
"farming_climate_change.nlogo"
"RCP-experiment-single-org"
"11/25/2024 11:31:33:580 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","64","0","64"
"[run number]","max-alt-cost-coeff","SLRrate","green-org","starting-temp","look-ahead-blue","dev-discount-red","time-btw-buy-blue","blue-org","run-time","profit-threshold-red","sell-bonus-red","dev-discount-blue","time-btw-buy-red","dev-discount-green","max-base-cost","time-btw-buy-green","look-ahead-green","profit-threshold-blue","profit-threshold-green","look-ahead-red","max-altitude","sell-bonus-blue","sell-bonus-green","red-org","min-base-cost","[step]","sum [money] of farm-orgs with [org-color = red]","sum [farm-agri-output] of farms with [color = red]","farm-coordinates","current-step"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","0","0","0","[]","0"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","1","-3924.3066200000007","34.34961348458877","[[27 20]]","1"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","2","-3580.9730746828095","34.33335453171914","[[27 20]]","2"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","3","-3237.8021095434806","34.31709651393292","[[27 20]]","3"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","4","-2894.793715235899","34.30083943075817","[[27 20]]","4"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","5","-2551.947882418668","34.28458328172312","[[27 20]]","5"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","6","-2209.2646017551065","34.268328066356176","[[27 20]]","6"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","7","-1866.743863913247","34.252073784185946","[[27 20]]","7"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","8","-1524.3856595658353","34.235820434741164","[[27 20]]","8"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","9","-1182.1899793903276","34.21956801755077","[[27 20]]","9"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","10","-840.1568140688885","34.20331653214391","[[27 20]]","10"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","11","-498.2861542883901","34.18706597804984","[[27 20]]","11"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","12","-156.57799074040986","34.17081635479802","[[27 20]]","12"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","13","184.96768587877114","34.1545676619181","[[27 20]]","13"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","14","526.3508848681704","34.13831989893992","[[27 20]]","14"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","15","867.5716155221045","34.12207306539341","[[27 20]]","15"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","16","-3533.3570595364754","83.30845483245056","[[55 11] [27 20]]","16"
